State,Year,Energy_type,Generation_MU,Capacity_MW,Potential_MW,Avg_Generation_MW,CUF,Potential_Capacity_Gap_MW,Generation_Potential_Utilization
The Dadra And Nagar Haveli And Daman And Diu,2010,Wind,0.00,0.00,0.00,0,0,0,0.00%
Jharkhand,2016,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Tripura,2010,Solar,0.00,0.00,0.00,0,0,0,0.00%
Tripura,2010,Waste,0.00,0.00,0.00,0,0,0,0.00%
Tripura,2010,Wind,0.00,0.00,0.00,0,0,0,0.00%
Jharkhand,2017,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Uttar Pradesh,2010,Wind,0.00,0.00,0.00,0,0,0,0.00%
Jharkhand,2018,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Uttarakhand,2010,Waste,0.00,0.00,0.00,0,0,0,0.00%
Uttarakhand,2010,Wind,0.00,0.00,0.00,0,0,0,0.00%
Jharkhand,2019,Biomass,0.00,0.00,0.00,0,0,0,0.00%
West Bengal,2010,Waste,0.00,0.00,0.00,0,0,0,0.00%
Jharkhand,2020,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Andaman And Nicobar Islands,2011,Waste,0.00,0.00,0.00,0,0,0,0.00%
Andaman And Nicobar Islands,2011,Wind,0.00,0.00,0.00,0,0,0,0.00%
Jharkhand,2020,Biomass,0.00,4.30,0.00,0,0,-4.30,0.00%
Karnataka,2018,Biomass,0.00,0.00,"1,222.00",0,0,"1,222.00",0.00%
Arunachal Pradesh,2011,Waste,0.00,0.00,0.00,0,0,0,0.00%
Arunachal Pradesh,2011,Wind,0.00,0.00,0.00,0,0,0,0.00%
Karnataka,2015,Biomass,0.00,0.00,"1,131.00",0,0,"1,131.00",0.00%
Assam,2011,Solar,0.00,0.00,0.00,0,0,0,0.00%
Assam,2011,Waste,0.00,0.00,0.00,0,0,0,0.00%
Assam,2011,Wind,0.00,0.00,0.00,0,0,0,0.00%
Karnataka,2017,Biomass,0.00,0.00,"1,131.00",0,0,"1,131.00",0.00%
Bihar,2011,Solar,0.00,0.00,0.00,0,0,0,0.00%
Bihar,2011,Waste,0.00,0.00,0.00,0,0,0,0.00%
Bihar,2011,Wind,0.00,0.00,0.00,0,0,0,0.00%
Karnataka,2019,Biomass,0.00,0.00,"1,131.00",0,0,"1,131.00",0.00%
Chandigarh,2011,Small Hydro,0.00,0.00,0.00,0,0,0,0.00%
Chandigarh,2011,Solar,0.00,0.00,0.00,0,0,0,0.00%
Chandigarh,2011,Waste,0.00,0.00,0.00,0,0,0,0.00%
Chandigarh,2011,Wind,0.00,0.00,0.00,0,0,0,0.00%
Karnataka,2020,Biomass,0.00,0.00,"1,131.00",0,0,"1,131.00",0.00%
Chhattisgarh,2011,Solar,0.00,0.00,0.00,0,0,0,0.00%
Chhattisgarh,2011,Waste,0.00,0.00,0.00,0,0,0,0.00%
Chhattisgarh,2011,Wind,0.00,0.00,0.00,0,0,0,0.00%
Karnataka,2016,Biomass,"3,591.92",0.00,0.00,410.0360731,0,0,0.00%
Delhi,2011,Small Hydro,0.00,0.00,0.00,0,0,0,0.00%
Delhi,2011,Waste,0.00,0.00,0.00,0,0,0,0.00%
Delhi,2011,Wind,0.00,0.00,0.00,0,0,0,0.00%
Karnataka,2015,Biomass,"2,735.72",0.00,0.00,312.2964612,0,0,0.00%
Goa,2011,Small Hydro,0.00,0.05,0.00,0,0,-0.05,0.00%
Goa,2011,Solar,0.00,0.00,0.00,0,0,0,0.00%
Goa,2011,Waste,0.00,0.00,0.00,0,0,0,0.00%
Goa,2011,Wind,0.00,0.00,0.00,0,0,0,0.00%
Karnataka,2019,Biomass,"2,500.37",0.00,0.00,285.4303653,0,0,0.00%
Gujarat,2011,Waste,0.00,0.00,0.00,0,0,0,0.00%
Karnataka,2014,Biomass,"2,484.50",0.00,0.00,283.6187215,0,0,0.00%
Haryana,2011,Solar,0.00,0.00,0.00,0,0,0,0.00%
Haryana,2011,Waste,0.00,0.00,0.00,0,0,0,0.00%
Haryana,2011,Wind,0.00,0.00,0.00,0,0,0,0.00%
Karnataka,2020,Biomass,"2,376.65",0.00,0.00,271.3070776,0,0,0.00%
Himachal Pradesh,2011,Solar,0.00,0.00,0.00,0,0,0,0.00%
Himachal Pradesh,2011,Waste,0.00,0.00,0.00,0,0,0,0.00%
Himachal Pradesh,2011,Wind,0.00,0.00,0.00,0,0,0,0.00%
Karnataka,2018,Biomass,"2,057.56",0.00,0.00,234.8812785,0,0,0.00%
Jammu And Kashmir,2011,Solar,0.00,0.00,0.00,0,0,0,0.00%
Jammu And Kashmir,2011,Waste,0.00,0.00,0.00,0,0,0,0.00%
Jammu And Kashmir,2011,Wind,0.00,0.00,0.00,0,0,0,0.00%
Karnataka,2013,Biomass,"2,023.66",0.00,0.00,231.0114155,0,0,0.00%
Jharkhand,2011,Small Hydro,0.00,4.05,0.00,0,0,-4.05,0.00%
Jharkhand,2011,Solar,0.00,0.00,0.00,0,0,0,0.00%
Jharkhand,2011,Waste,0.00,0.00,0.00,0,0,0,0.00%
Jharkhand,2011,Wind,0.00,0.00,0.00,0,0,0,0.00%
Karnataka,2012,Biomass,"1,816.92",0.00,0.00,207.4109589,0,0,0.00%
Karnataka,2011,Waste,0.00,1.00,0.00,0,0,-1.00,0.00%
Karnataka,2017,Biomass,"1,708.11",0.00,0.00,194.9892694,0,0,0.00%
Kerala,2011,Waste,0.00,0.00,0.00,0,0,0,0.00%
Karnataka,2011,Biomass,"1,503.93",0.00,0.00,171.6812785,0,0,0.00%
Ladakh,2011,Solar,0.00,0.00,0.00,0,0,0,0.00%
Ladakh,2011,Waste,0.00,0.00,0.00,0,0,0,0.00%
Ladakh,2011,Wind,0.00,0.00,0.00,0,0,0,0.00%
Karnataka,2010,Biomass,"1,384.50",0.00,0.00,158.0476027,0,0,0.00%
Lakshadweep,2011,Small Hydro,0.00,0.00,0.00,0,0,0,0.00%
Lakshadweep,2011,Waste,0.00,0.00,0.00,0,0,0,0.00%
Lakshadweep,2011,Wind,0.00,0.00,0.00,0,0,0,0.00%
Karnataka,2009,Biomass,"1,211.53",0.00,0.00,138.3021689,0,0,0.00%
Karnataka,2008,Biomass,"1,080.15",0.00,0.00,123.305137,0,0,0.00%
Karnataka,2018,Biomass,0.00,"1,753.60","1,400.00",0,0,-353.60,0.00%
Manipur,2011,Small Hydro,0.00,5.45,0.00,0,0,-5.45,0.00%
Manipur,2011,Solar,0.00,0.00,0.00,0,0,0,0.00%
Manipur,2011,Waste,0.00,0.00,0.00,0,0,0,0.00%
Manipur,2011,Wind,0.00,0.00,0.00,0,0,0,0.00%
Karnataka,2015,Biomass,0.00,"1,346.00",450.00,0,0,-896.00,0.00%
Meghalaya,2011,Solar,0.00,0.00,0.00,0,0,0,0.00%
Meghalaya,2011,Waste,0.00,0.00,0.00,0,0,0,0.00%
Meghalaya,2011,Wind,0.00,0.00,0.00,0,0,0,0.00%
Karnataka,2017,Biomass,0.00,"1,452.00",450.00,0,0,"-1,002.00",0.00%
Mizoram,2011,Solar,0.00,0.00,0.00,0,0,0,0.00%
Mizoram,2011,Waste,0.00,0.00,0.00,0,0,0,0.00%
Mizoram,2011,Wind,0.00,0.00,0.00,0,0,0,0.00%
Karnataka,2019,Biomass,0.00,"1,783.60",450.00,0,0,"-1,333.60",0.00%
Nagaland,2011,Solar,0.00,0.00,0.00,0,0,0,0.00%
Nagaland,2011,Waste,0.00,0.00,0.00,0,0,0,0.00%
Nagaland,2011,Wind,0.00,0.00,0.00,0,0,0,0.00%
Karnataka,2020,Biomass,0.00,"1,881.80",450.00,0,0,"-1,431.80",0.00%
Odisha,2011,Solar,0.00,0.00,0.00,0,0,0,0.00%
Odisha,2011,Waste,0.00,0.00,0.00,0,0,0,0.00%
Odisha,2011,Wind,0.00,0.00,0.00,0,0,0,0.00%
Karnataka,2008,Biomass,0.00,262.28,0.00,0,0,-262.28,0.00%
Puducherry,2011,Small Hydro,0.00,0.00,0.00,0,0,0,0.00%
Puducherry,2011,Solar,0.00,0.79,0.00,0,0,-0.79,0.00%
Puducherry,2011,Waste,0.00,0.00,0.00,0,0,0,0.00%
Puducherry,2011,Wind,0.00,0.00,0.00,0,0,0,0.00%
Karnataka,2009,Biomass,0.00,294.18,0.00,0,0,-294.18,0.00%
Punjab,2011,Waste,0.00,9.25,0.00,0,0,-9.25,0.00%
Punjab,2011,Wind,0.00,0.00,0.00,0,0,0,0.00%
Karnataka,2010,Biomass,0.00,336.18,0.00,0,0,-336.18,0.00%
Rajasthan,2011,Waste,0.00,0.00,0.00,0,0,0,0.00%
Karnataka,2011,Biomass,0.00,365.18,0.00,0,0,-365.18,0.00%
Sikkim,2011,Solar,0.00,0.00,0.00,0,0,0,0.00%
Sikkim,2011,Waste,0.00,0.00,0.00,0,0,0,0.00%
Sikkim,2011,Wind,0.00,0.00,0.00,0,0,0,0.00%
Karnataka,2012,Biomass,0.00,441.18,0.00,0,0,-441.18,0.00%
Tamil Nadu,2011,Waste,0.00,5.65,0.00,0,0,-5.65,0.00%
Karnataka,2013,Biomass,0.00,491.38,0.00,0,0,-491.38,0.00%
Telangana,2011,Small Hydro,0.00,0.00,0.00,0,0,0,0.00%
Telangana,2011,Solar,0.00,0.00,0.00,0,0,0,0.00%
Telangana,2011,Waste,0.00,0.00,0.00,0,0,0,0.00%
Telangana,2011,Wind,0.00,0.00,0.00,0,0,0,0.00%
Karnataka,2014,Biomass,0.00,603.28,0.00,0,0,-603.28,0.00%
The Dadra And Nagar Haveli And Daman And Diu,2011,Small Hydro,0.00,0.00,0.00,0,0,0,0.00%
The Dadra And Nagar Haveli And Daman And Diu,2011,Solar,0.00,0.00,0.00,0,0,0,0.00%
The Dadra And Nagar Haveli And Daman And Diu,2011,Waste,0.00,0.00,0.00,0,0,0,0.00%
The Dadra And Nagar Haveli And Daman And Diu,2011,Wind,0.00,0.00,0.00,0,0,0,0.00%
Karnataka,2016,Biomass,0.00,"1,402.00",0.00,0,0,"-1,402.00",0.00%
Tripura,2011,Solar,0.00,0.00,0.00,0,0,0,0.00%
Tripura,2011,Waste,0.00,0.00,0.00,0,0,0,0.00%
Tripura,2011,Wind,0.00,0.00,0.00,0,0,0,0.00%
Kerala,2015,Biomass,0.00,0.00,"1,044.00",0,0,"1,044.00",0.00%
Uttar Pradesh,2011,Wind,0.00,0.00,0.00,0,0,0,0.00%
Kerala,2017,Biomass,0.00,0.00,"1,044.00",0,0,"1,044.00",0.00%
Uttarakhand,2011,Waste,0.00,0.00,0.00,0,0,0,0.00%
Uttarakhand,2011,Wind,0.00,0.00,0.00,0,0,0,0.00%
Kerala,2019,Biomass,0.00,0.00,"1,044.00",0,0,"1,044.00",0.00%
West Bengal,2011,Waste,0.00,0.00,0.00,0,0,0,0.00%
Kerala,2020,Biomass,0.00,0.00,"1,044.00",0,0,"1,044.00",0.00%
Andaman And Nicobar Islands,2012,Waste,0.00,0.00,0.00,0,0,0,0.00%
Andaman And Nicobar Islands,2012,Wind,0.00,0.00,0.00,0,0,0,0.00%
Kerala,2018,Biomass,0.00,0.00,864.00,0,0,864.00,0.00%
Kerala,2016,Biomass,72.96,0.00,0.00,8.328424658,0,0,0.00%
Arunachal Pradesh,2012,Waste,0.00,0.00,0.00,0,0,0,0.00%
Arunachal Pradesh,2012,Wind,0.00,0.00,0.00,0,0,0,0.00%
Kerala,2020,Biomass,11.03,0.00,0.00,1.259589041,0,0,0.00%
Assam,2012,Solar,0.00,0.00,0.00,0,0,0,0.00%
Assam,2012,Waste,0.00,0.00,0.00,0,0,0,0.00%
Assam,2012,Wind,0.00,0.00,0.00,0,0,0,0.00%
Kerala,2017,Biomass,1.23,0.00,0.00,0.1404109589,0,0,0.00%
Bihar,2012,Solar,0.00,0.00,0.00,0,0,0,0.00%
Bihar,2012,Waste,0.00,0.00,0.00,0,0,0,0.00%
Bihar,2012,Wind,0.00,0.00,0.00,0,0,0,0.00%
Kerala,2008,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Chandigarh,2012,Small Hydro,0.00,0.00,0.00,0,0,0,0.00%
Chandigarh,2012,Solar,0.00,0.00,0.00,0,0,0,0.00%
Chandigarh,2012,Waste,0.00,0.00,0.00,0,0,0,0.00%
Chandigarh,2012,Wind,0.00,0.00,0.00,0,0,0,0.00%
Kerala,2009,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Chhattisgarh,2012,Waste,0.00,0.00,0.00,0,0,0,0.00%
Chhattisgarh,2012,Wind,0.00,0.00,0.00,0,0,0,0.00%
Kerala,2010,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Delhi,2012,Small Hydro,0.00,0.00,0.00,0,0,0,0.00%
Delhi,2012,Wind,0.00,0.00,0.00,0,0,0,0.00%
Kerala,2011,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Goa,2012,Small Hydro,0.00,0.05,0.00,0,0,-0.05,0.00%
Goa,2012,Solar,0.00,0.00,0.00,0,0,0,0.00%
Goa,2012,Waste,0.00,0.00,0.00,0,0,0,0.00%
Goa,2012,Wind,0.00,0.00,0.00,0,0,0,0.00%
Kerala,2012,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Gujarat,2012,Waste,0.00,0.00,0.00,0,0,0,0.00%
Kerala,2013,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Haryana,2012,Waste,0.00,0.00,0.00,0,0,0,0.00%
Haryana,2012,Wind,0.00,0.00,0.00,0,0,0,0.00%
Kerala,2014,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Himachal Pradesh,2012,Solar,0.00,0.00,0.00,0,0,0,0.00%
Himachal Pradesh,2012,Waste,0.00,0.00,0.00,0,0,0,0.00%
Himachal Pradesh,2012,Wind,0.00,0.00,0.00,0,0,0,0.00%
Kerala,2015,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Jammu And Kashmir,2012,Solar,0.00,0.00,0.00,0,0,0,0.00%
Jammu And Kashmir,2012,Waste,0.00,0.00,0.00,0,0,0,0.00%
Jammu And Kashmir,2012,Wind,0.00,0.00,0.00,0,0,0,0.00%
Kerala,2018,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Jharkhand,2012,Small Hydro,0.00,4.05,0.00,0,0,-4.05,0.00%
Jharkhand,2012,Waste,0.00,0.00,0.00,0,0,0,0.00%
Jharkhand,2012,Wind,0.00,0.00,0.00,0,0,0,0.00%
Kerala,2019,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Karnataka,2012,Waste,0.00,1.00,0.00,0,0,-1.00,0.00%
Kerala,2020,Biomass,0.00,0.72,0.00,0,0,-0.72,0.00%
Kerala,2012,Waste,0.00,0.00,0.00,0,0,0,0.00%
Kerala,2012,Wind,0.00,0.00,0.00,0,0,0,0.00%
Ladakh,2015,Biomass,0.00,0.00,0.00,0,0,0.00,0.00%
Ladakh,2012,Solar,0.00,0.00,0.00,0,0,0,0.00%
Ladakh,2012,Waste,0.00,0.00,0.00,0,0,0,0.00%
Ladakh,2012,Wind,0.00,0.00,0.00,0,0,0,0.00%
Ladakh,2017,Biomass,0.00,0.00,0.00,0,0,0.00,0.00%
Lakshadweep,2012,Small Hydro,0.00,0.00,0.00,0,0,0,0.00%
Lakshadweep,2012,Waste,0.00,0.00,0.00,0,0,0,0.00%
Lakshadweep,2012,Wind,0.00,0.00,0.00,0,0,0,0.00%
Ladakh,2018,Biomass,0.00,0.00,0.00,0,0,0.00,0.00%
Ladakh,2019,Biomass,0.00,0.00,0.00,0,0,0.00,0.00%
Ladakh,2020,Biomass,0.00,0.00,0.00,0,0,0.00,0.00%
Manipur,2012,Small Hydro,0.00,5.45,0.00,0,0,-5.45,0.00%
Manipur,2012,Solar,0.00,0.00,0.00,0,0,0,0.00%
Manipur,2012,Waste,0.00,0.00,0.00,0,0,0,0.00%
Manipur,2012,Wind,0.00,0.00,0.00,0,0,0,0.00%
Ladakh,2008,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Meghalaya,2012,Solar,0.00,0.00,0.00,0,0,0,0.00%
Meghalaya,2012,Waste,0.00,0.00,0.00,0,0,0,0.00%
Meghalaya,2012,Wind,0.00,0.00,0.00,0,0,0,0.00%
Ladakh,2009,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Mizoram,2012,Solar,0.00,0.00,0.00,0,0,0,0.00%
Mizoram,2012,Waste,0.00,0.00,0.00,0,0,0,0.00%
Mizoram,2012,Wind,0.00,0.00,0.00,0,0,0,0.00%
Ladakh,2010,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Nagaland,2012,Solar,0.00,0.00,0.00,0,0,0,0.00%
Nagaland,2012,Waste,0.00,0.00,0.00,0,0,0,0.00%
Nagaland,2012,Wind,0.00,0.00,0.00,0,0,0,0.00%
Ladakh,2011,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Odisha,2012,Waste,0.00,0.00,0.00,0,0,0,0.00%
Odisha,2012,Wind,0.00,0.00,0.00,0,0,0,0.00%
Ladakh,2012,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Puducherry,2012,Small Hydro,0.00,0.00,0.00,0,0,0,0.00%
Puducherry,2012,Solar,0.00,0.03,0.00,0,0,-0.03,0.00%
Puducherry,2012,Waste,0.00,0.00,0.00,0,0,0,0.00%
Puducherry,2012,Wind,0.00,0.00,0.00,0,0,0,0.00%
Ladakh,2013,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Punjab,2012,Waste,0.00,9.25,0.00,0,0,-9.25,0.00%
Punjab,2012,Wind,0.00,0.00,0.00,0,0,0,0.00%
Ladakh,2014,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Rajasthan,2012,Waste,0.00,0.00,0.00,0,0,0,0.00%
Lakshadweep,2008,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Sikkim,2012,Solar,0.00,0.00,0.00,0,0,0,0.00%
Sikkim,2012,Waste,0.00,0.00,0.00,0,0,0,0.00%
Sikkim,2012,Wind,0.00,0.00,0.00,0,0,0,0.00%
Lakshadweep,2009,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Tamil Nadu,2012,Waste,0.00,5.65,0.00,0,0,-5.65,0.00%
Lakshadweep,2010,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Telangana,2012,Small Hydro,0.00,0.00,0.00,0,0,0,0.00%
Telangana,2012,Solar,0.00,0.00,0.00,0,0,0,0.00%
Telangana,2012,Waste,0.00,0.00,0.00,0,0,0,0.00%
Telangana,2012,Wind,0.00,0.00,0.00,0,0,0,0.00%
Lakshadweep,2011,Biomass,0.00,0.00,0.00,0,0,0,0.00%
The Dadra And Nagar Haveli And Daman And Diu,2012,Small Hydro,0.00,0.00,0.00,0,0,0,0.00%
The Dadra And Nagar Haveli And Daman And Diu,2012,Solar,0.00,0.00,0.00,0,0,0,0.00%
The Dadra And Nagar Haveli And Daman And Diu,2012,Waste,0.00,0.00,0.00,0,0,0,0.00%
The Dadra And Nagar Haveli And Daman And Diu,2012,Wind,0.00,0.00,0.00,0,0,0,0.00%
Lakshadweep,2012,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Tripura,2012,Solar,0.00,0.00,0.00,0,0,0,0.00%
Tripura,2012,Waste,0.00,0.00,0.00,0,0,0,0.00%
Tripura,2012,Wind,0.00,0.00,0.00,0,0,0,0.00%
Lakshadweep,2013,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Uttar Pradesh,2012,Wind,0.00,0.00,0.00,0,0,0,0.00%
Lakshadweep,2014,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Uttarakhand,2012,Waste,0.00,0.00,0.00,0,0,0,0.00%
Uttarakhand,2012,Wind,0.00,0.00,0.00,0,0,0,0.00%
Lakshadweep,2015,Biomass,0.00,0.00,0.00,0,0,0,0.00%
West Bengal,2012,Waste,0.00,0.00,0.00,0,0,0,0.00%
Lakshadweep,2016,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Andaman And Nicobar Islands,2013,Waste,0.00,0.00,0.00,0,0,0,0.00%
Andaman And Nicobar Islands,2013,Wind,0.00,0.00,0.00,0,0,0,0.00%
Lakshadweep,2017,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Lakshadweep,2018,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Arunachal Pradesh,2013,Waste,0.00,0.00,0.00,0,0,0,0.00%
Arunachal Pradesh,2013,Wind,0.00,0.00,0.00,0,0,0,0.00%
Lakshadweep,2019,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Assam,2013,Solar,0.00,0.00,0.00,0,0,0,0.00%
Assam,2013,Waste,0.00,0.00,0.00,0,0,0,0.00%
Assam,2013,Wind,0.00,0.00,0.00,0,0,0,0.00%
Lakshadweep,2020,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Bihar,2013,Solar,0.00,0.00,0.00,0,0,0,0.00%
Bihar,2013,Waste,0.00,0.00,0.00,0,0,0,0.00%
Bihar,2013,Wind,0.00,0.00,0.00,0,0,0,0.00%
Madhya Pradesh,2018,Biomass,0.00,0.00,"1,386.00",0,0,"1,386.00",0.00%
Chandigarh,2013,Small Hydro,0.00,0.00,0.00,0,0,0,0.00%
Chandigarh,2013,Solar,0.00,0.00,0.00,0,0,0,0.00%
Chandigarh,2013,Waste,0.00,0.00,0.00,0,0,0,0.00%
Chandigarh,2013,Wind,0.00,0.00,0.00,0,0,0,0.00%
Madhya Pradesh,2015,Biomass,0.00,0.00,"1,364.00",0,0,"1,364.00",0.00%
Chhattisgarh,2013,Waste,0.00,0.00,0.00,0,0,0,0.00%
Madhya Pradesh,2017,Biomass,0.00,0.00,"1,364.00",0,0,"1,364.00",0.00%
Delhi,2013,Small Hydro,0.00,0.00,0.00,0,0,0,0.00%
Delhi,2013,Wind,0.00,0.00,0.00,0,0,0,0.00%
Madhya Pradesh,2019,Biomass,0.00,0.00,"1,364.00",0,0,"1,364.00",0.00%
Goa,2013,Small Hydro,0.00,0.05,0.00,0,0,-0.05,0.00%
Goa,2013,Solar,0.00,0.00,0.00,0,0,0,0.00%
Goa,2013,Waste,0.00,0.00,0.00,0,0,0,0.00%
Goa,2013,Wind,0.00,0.00,0.00,0,0,0,0.00%
Madhya Pradesh,2020,Biomass,0.00,0.00,"1,364.00",0,0,"1,364.00",0.00%
Gujarat,2013,Waste,0.00,0.00,0.00,0,0,0,0.00%
Madhya Pradesh,2015,Biomass,129.43,0.00,0.00,14.77511416,0,0,0.00%
Haryana,2013,Waste,0.00,0.00,0.00,0,0,0,0.00%
Haryana,2013,Wind,0.00,0.00,0.00,0,0,0,0.00%
Madhya Pradesh,2016,Biomass,125.84,0.00,0.00,14.36472603,0,0,0.00%
Himachal Pradesh,2013,Solar,0.00,0.00,0.00,0,0,0,0.00%
Himachal Pradesh,2013,Waste,0.00,0.00,0.00,0,0,0,0.00%
Himachal Pradesh,2013,Wind,0.00,0.00,0.00,0,0,0,0.00%
Madhya Pradesh,2019,Biomass,112.34,0.00,0.00,12.82385845,0,0,0.00%
Jammu And Kashmir,2013,Solar,0.00,0.00,0.00,0,0,0,0.00%
Jammu And Kashmir,2013,Waste,0.00,0.00,0.00,0,0,0,0.00%
Jammu And Kashmir,2013,Wind,0.00,0.00,0.00,0,0,0,0.00%
Madhya Pradesh,2020,Biomass,97.46,0.00,0.00,11.1260274,0,0,0.00%
Jharkhand,2013,Small Hydro,0.00,4.05,0.00,0,0,-4.05,0.00%
Jharkhand,2013,Waste,0.00,0.00,0.00,0,0,0,0.00%
Jharkhand,2013,Wind,0.00,0.00,0.00,0,0,0,0.00%
Madhya Pradesh,2014,Biomass,93.48,0.00,0.00,10.67089041,0,0,0.00%
Karnataka,2013,Waste,0.00,1.00,0.00,0,0,-1.00,0.00%
Madhya Pradesh,2017,Biomass,88.41,0.00,0.00,10.09246575,0,0,0.00%
Kerala,2013,Waste,0.00,0.00,0.00,0,0,0,0.00%
Madhya Pradesh,2018,Biomass,76.11,0.00,0.00,8.688356164,0,0,0.00%
Ladakh,2013,Solar,0.00,0.00,0.00,0,0,0,0.00%
Ladakh,2013,Waste,0.00,0.00,0.00,0,0,0,0.00%
Ladakh,2013,Wind,0.00,0.00,0.00,0,0,0,0.00%
Madhya Pradesh,2013,Biomass,57.52,0.00,0.00,6.566666667,0,0,0.00%
Lakshadweep,2013,Small Hydro,0.00,0.00,0.00,0,0,0,0.00%
Lakshadweep,2013,Waste,0.00,0.00,0.00,0,0,0,0.00%
Lakshadweep,2013,Wind,0.00,0.00,0.00,0,0,0,0.00%
Madhya Pradesh,2012,Biomass,30.56,0.00,0.00,3.488584475,0,0,0.00%
Madhya Pradesh,2008,Biomass,3.60,0.00,0.00,0.4103881279,0,0,0.00%
Madhya Pradesh,2009,Biomass,3.60,0.00,0.00,0.4103881279,0,0,0.00%
Manipur,2013,Small Hydro,0.00,5.45,0.00,0,0,-5.45,0.00%
Manipur,2013,Solar,0.00,0.00,0.00,0,0,0,0.00%
Manipur,2013,Waste,0.00,0.00,0.00,0,0,0,0.00%
Manipur,2013,Wind,0.00,0.00,0.00,0,0,0,0.00%
Madhya Pradesh,2010,Biomass,3.60,0.00,0.00,0.4103881279,0,0,0.00%
Meghalaya,2013,Solar,0.00,0.00,0.00,0,0,0,0.00%
Meghalaya,2013,Waste,0.00,0.00,0.00,0,0,0,0.00%
Meghalaya,2013,Wind,0.00,0.00,0.00,0,0,0,0.00%
Madhya Pradesh,2011,Biomass,3.60,0.00,0.00,0.4103881279,0,0,0.00%
Mizoram,2013,Solar,0.00,0.00,0.00,0,0,0,0.00%
Mizoram,2013,Waste,0.00,0.00,0.00,0,0,0,0.00%
Mizoram,2013,Wind,0.00,0.00,0.00,0,0,0,0.00%
Madhya Pradesh,2008,Biomass,0.00,1.00,0.00,0,0,-1.00,0.00%
Nagaland,2013,Solar,0.00,0.00,0.00,0,0,0,0.00%
Nagaland,2013,Waste,0.00,0.00,0.00,0,0,0,0.00%
Nagaland,2013,Wind,0.00,0.00,0.00,0,0,0,0.00%
Madhya Pradesh,2009,Biomass,0.00,1.00,0.00,0,0,-1.00,0.00%
Odisha,2013,Waste,0.00,0.00,0.00,0,0,0,0.00%
Odisha,2013,Wind,0.00,0.00,0.00,0,0,0,0.00%
Madhya Pradesh,2010,Biomass,0.00,1.00,0.00,0,0,-1.00,0.00%
Puducherry,2013,Small Hydro,0.00,0.00,0.00,0,0,0,0.00%
Puducherry,2013,Solar,0.00,0.03,0.00,0,0,-0.03,0.00%
Puducherry,2013,Waste,0.00,0.00,0.00,0,0,0,0.00%
Puducherry,2013,Wind,0.00,0.00,0.00,0,0,0,0.00%
Madhya Pradesh,2011,Biomass,0.00,1.00,0.00,0,0,-1.00,0.00%
Punjab,2013,Waste,0.00,9.25,0.00,0,0,-9.25,0.00%
Madhya Pradesh,2012,Biomass,0.00,8.50,0.00,0,0,-8.50,0.00%
Rajasthan,2013,Waste,0.00,0.00,0.00,0,0,0,0.00%
Madhya Pradesh,2013,Biomass,0.00,16.00,0.00,0,0,-16.00,0.00%
Sikkim,2013,Solar,0.00,0.00,0.00,0,0,0,0.00%
Sikkim,2013,Waste,0.00,0.00,0.00,0,0,0,0.00%
Sikkim,2013,Wind,0.00,0.00,0.00,0,0,0,0.00%
Madhya Pradesh,2014,Biomass,0.00,26.00,0.00,0,0,-26.00,0.00%
Tamil Nadu,2013,Waste,0.00,8.05,0.00,0,0,-8.05,0.00%
Madhya Pradesh,2015,Biomass,0.00,68.00,0.00,0,0,-68.00,0.00%
Telangana,2013,Small Hydro,0.00,0.00,0.00,0,0,0,0.00%
Telangana,2013,Solar,0.00,0.00,0.00,0,0,0,0.00%
Telangana,2013,Waste,0.00,0.00,0.00,0,0,0,0.00%
Telangana,2013,Wind,0.00,0.00,0.00,0,0,0,0.00%
