State,Year,Energy_type,Generation_MU,Capacity_MW,Potential_MW,Avg_Generation_MW,CUF,Potential_Capacity_Gap_MW,Generation_Potential_Utilization
West Bengal,2010,Wind,5.31,4.30,0.00,0.6061643836,0.1409684613,-4.30,0.00%
West Bengal,2011,Wind,5.31,4.30,0.00,0.6061643836,0.1409684613,-4.30,0.00%
West Bengal,2012,Wind,5.31,4.30,0.00,0.6061643836,0.1409684613,-4.30,0.00%
Andhra Pradesh,2010,Waste,5.22,35.66,0.00,0.5961187215,0.01671673364,-35.66,0.00%
Rajasthan,2019,Small Hydro,5.18,23.85,57.00,0.5914383562,0.02479825393,33.15,1.04%
Andhra Pradesh,2009,Waste,5.16,35.25,0.00,0.5892694064,0.01671686259,-35.25,0.00%
Rajasthan,2008,Small Hydro,5.06,23.85,0.00,0.5775114155,0.02421431512,-23.85,0.00%
Rajasthan,2009,Small Hydro,5.06,23.85,0.00,0.5775114155,0.02421431512,-23.85,0.00%
Rajasthan,2010,Small Hydro,5.06,23.85,0.00,0.5775114155,0.02421431512,-23.85,0.00%
Rajasthan,2011,Small Hydro,5.06,23.85,0.00,0.5775114155,0.02421431512,-23.85,0.00%
Rajasthan,2012,Small Hydro,5.06,23.85,0.00,0.5775114155,0.02421431512,-23.85,0.00%
Rajasthan,2013,Small Hydro,5.06,23.85,0.00,0.5775114155,0.02421431512,-23.85,0.00%
Rajasthan,2014,Small Hydro,5.06,23.85,0.00,0.5775114155,0.02421431512,-23.85,0.00%
Rajasthan,2015,Small Hydro,5.06,23.85,57.00,0.5775114155,0.02421431512,33.15,1.01%
Rajasthan,2016,Small Hydro,5.06,23.85,0.00,0.5775114155,0.02421431512,-23.85,0.00%
Jharkhand,2012,Solar,4.89,4.00,0.00,0.5576484018,0.1394121005,-4.00,0.00%
Odisha,2018,Wind,4.80,0.00,0.00,0.5484018265,0,0,0.00%
Ladakh,2008,Small Hydro,4.76,2.45,0.00,0.5437098285,0.222278638,-2.45,0.00%
Ladakh,2009,Small Hydro,4.76,2.45,0.00,0.5437098285,0.222278638,-2.45,0.00%
The Dadra And Nagar Haveli And Daman And Diu,2016,Solar,4.75,4.00,0.00,0.5424657534,0.1356164384,-4.00,0.00%
Andhra Pradesh,2008,Waste,4.69,32.00,0.00,0.5349315068,0.01671660959,-32.00,0.00%
Delhi,2016,Solar,4.11,14.28,0.00,0.4687214612,0.03282363174,-14.28,0.00%
Odisha,2008,Wind,3.95,3.20,0.00,0.4511415525,0.1409817352,-3.20,0.00%
Odisha,2009,Wind,3.95,3.20,0.00,0.4511415525,0.1409817352,-3.20,0.00%
Goa,2018,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Goa,2019,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Goa,2020,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Gujarat,2018,Biomass,0.00,0.00,"1,226.00",0,0,"1,226.00",0.00%
Tripura,2020,Solar,3.43,9.41,"2,080.00",0.3916666667,0.04162238753,"2,070.59",0.02%
Chandigarh,2016,Solar,3.40,6.81,0.00,0.3878995434,0.05699376188,-6.81,0.00%
Madhya Pradesh,2012,Solar,3.21,2.10,0.00,0.3663242009,0.1744400957,-2.10,0.00%
Assam,2017,Solar,2.69,11.78,"13,760.00",0.3070776256,0.02606771015,"13,748.22",0.00%
Manipur,2020,Solar,2.63,5.16,"10,630.00",0.3006849315,0.05827227355,"10,624.84",0.00%
Puducherry,2019,Solar,2.58,3.14,0.00,0.2948630137,0.09390541838,-3.14,0.00%
Tamil Nadu,2011,Solar,2.41,5.05,0.00,0.2753424658,0.05452326055,-5.05,0.00%
Madhya Pradesh,2012,Waste,2.34,3.90,0.00,0.2672374429,0.06852242126,-3.90,0.00%
Madhya Pradesh,2013,Waste,2.34,3.90,0.00,0.2672374429,0.06852242126,-3.90,0.00%
Madhya Pradesh,2014,Waste,2.34,3.90,0.00,0.2672374429,0.06852242126,-3.90,0.00%
Madhya Pradesh,2015,Waste,2.34,3.90,78.00,0.2672374429,0.06852242126,74.10,0.34%
Madhya Pradesh,2016,Waste,2.34,3.90,0.00,0.2672374429,0.06852242126,-3.90,0.00%
Chhattisgarh,2012,Solar,2.25,4.00,0.00,0.2571917808,0.06429794521,-4.00,0.00%
Chhattisgarh,2013,Solar,2.25,4.00,0.00,0.2571917808,0.06429794521,-4.00,0.00%
Chandigarh,2015,Solar,2.25,4.50,0.00,0.2563926941,0.05697615424,-4.50,0.00%
Punjab,2011,Solar,2.19,2.33,0.00,0.2498858447,0.1072471437,-2.33,0.00%
Manipur,2019,Solar,1.88,3.44,"10,630.00",0.2141552511,0.06225443347,"10,626.56",0.00%
Jharkhand,2019,Small Hydro,1.76,4.05,209.00,0.2012557078,0.04969276735,204.95,0.10%
West Bengal,2012,Solar,1.66,2.05,0.00,0.1890410959,0.09221516873,-2.05,0.00%
West Bengal,2013,Solar,1.66,2.05,0.00,0.1890410959,0.09221516873,-2.05,0.00%
Madhya Pradesh,2008,Waste,1.65,2.75,0.00,0.1884703196,0.06853466169,-2.75,0.00%
Madhya Pradesh,2009,Waste,1.65,2.75,0.00,0.1884703196,0.06853466169,-2.75,0.00%
Madhya Pradesh,2010,Waste,1.62,2.70,0.00,0.1850456621,0.06853543041,-2.70,0.00%
Madhya Pradesh,2011,Waste,1.62,2.70,0.00,0.1850456621,0.06853543041,-2.70,0.00%
Arunachal Pradesh,2020,Solar,1.60,5.61,"8,650.00",0.1824200913,0.03251695033,"8,644.39",0.00%
Lakshadweep,2017,Solar,1.59,0.71,0.00,0.1815068493,0.2556434497,-0.71,0.00%
Lakshadweep,2018,Solar,1.58,0.75,0.00,0.1803652968,0.2404870624,-0.75,0.00%
Delhi,2015,Solar,1.57,5.47,"2,050.00",0.17956621,0.03285749498,"2,044.54",0.01%
Manipur,2020,Small Hydro,1.57,5.45,100.00,0.1792237443,0.0328850907,94.55,0.18%
Delhi,2014,Solar,1.48,5.15,0.00,0.1690639269,0.03282794698,-5.15,0.00%
